Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
65;1261,2164;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
65;1261,2164;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
66;1281,5192;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
66;1281,5192;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
66;1281,5192;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
67;1300,0188;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
67;1300,0188;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
67;1300,0188;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
68;1320,5375;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
68;1320,5375;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
68;1320,5375;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
69;1341,0714;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
69;1341,0714;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
69;1341,0714;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
70;1361,8739;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
70;1361,8739;L;35,084;0,516;24,542;0,793547;0,5047119;-0,339806;-0,008994864;52,64698;295,3321;323,9229
70;1361,8739;R;35,115;0,498;24,885;-0,2899453;0,003999246;0,7688551;-0,5698926;60,92809;247,9638;43,85032
71;1380,5743;H;35,117;1,346;24,707;-0,00500147;-0,7852309;0,001000294;0,6191821;0,3790654;256,5155;180,4449
71;1380,5743;L;35,084;0,516;24,542;0,793547;0,5047119;-0,339806;-0,008994864;52,64698;295,3321;323,9229
71;1380,5743;R;35,11;0,498;24,886;-0,2919981;0,004999968;0,7679951;-0,5699963;60,76087;248,4164;44,20348
72;1399,5822;H;35,113;1,345;24,707;-0,001999695;-0,7838805;0,001999695;0,6209053;0,03734547;256,765;180,3219
72;1399,5822;L;35,084;0,516;24,542;0,793547;0,5047119;-0,339806;-0,008994864;52,64698;295,3321;323,9229
72;1399,5822;R;35,11;0,498;24,886;-0,2919981;0,004999968;0,7679951;-0,5699963;60,76087;248,4164;44,20348
73;1421,2395;H;35,113;1,345;24,707;-0,001999695;-0,7838805;0,001999695;0,6209053;0,03734547;256,765;180,3219
73;1421,2395;L;35,084;0,516;24,542;0,793547;0,5047119;-0,339806;-0,008994864;52,64698;295,3321;323,9229
73;1421,2395;R;35,11;0,498;24,886;-0,2919981;0,004999968;0,7679951;-0,5699963;60,76087;248,4164;44,20348
74;1439,7099;H;35,113;1,345;24,707;-0,001999695;-0,7838805;0,001999695;0,6209053;0,03734547;256,765;180,3219
