Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
40;778,4586;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
40;778,4586;R;0;1;0;1;0;0;0;0;0;0
41;799,4406;H;0;1,5;0;1;0;0;0;0;0;0
41;799,4406;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
41;799,4406;R;0;1;0;1;0;0;0;0;0;0
42;818,7442;H;0;1,5;0;1;0;0;0;0;0;0
42;818,7442;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
42;818,7442;R;0;1;0;1;0;0;0;0;0;0
43;838,7691;H;0;1,5;0;1;0;0;0;0;0;0
43;838,7691;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
43;838,7691;R;0;1;0;1;0;0;0;0;0;0
44;858,9173;H;0;1,5;0;1;0;0;0;0;0;0
44;858,9173;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
44;858,9173;R;0;1;0;1;0;0;0;0;0;0
45;878,5353;H;0;1,5;0;1;0;0;0;0;0;0
45;878,5353;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
45;878,5353;R;0;1;0;1;0;0;0;0;0;0
46;899,5963;H;0;1,5;0;1;0;0;0;0;0;0
46;899,5963;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
46;899,5963;R;0;1;0;1;0;0;0;0;0;0
47;918,5909;H;0;1,5;0;1;0;0;0;0;0;0
47;918,5909;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
47;918,5909;R;0;1;0;1;0;0;0;0;0;0
48;939,4105;H;0;1,5;0;1;0;0;0;0;0;0
48;939,4105;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
48;939,4105;R;0;1;0;1;0;0;0;0;0;0
49;958,3341;H;0;1,5;0;1;0;0;0;0;0;0
49;958,3341;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
49;958,3341;R;0;1;0;1;0;0;0;0;0;0
50;978,7957;H;0;1,5;0;1;0;0;0;0;0;0
50;978,7957;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
50;978,7957;R;0;1;0;1;0;0;0;0;0;0
51;997,0471;H;0;1,5;0;1;0;0;0;0;0;0
51;997,0471;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
51;997,0471;R;0;1;0;1;0;0;0;0;0;0
52;1017,882;H;0;1,5;0;1;0;0;0;0;0;0
52;1017,882;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
52;1017,882;R;0;1;0;1;0;0;0;0;0;0
53;1038,7502;H;0;1,5;0;1;0;0;0;0;0;0
53;1038,7502;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
53;1038,7502;R;0;1;0;1;0;0;0;0;0;0
54;1057,0464;H;0;1,5;0;1;0;0;0;0;0;0
54;1057,0464;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
54;1057,0464;R;0;1;0;1;0;0;0;0;0;0
55;1077,7486;H;0;1,5;0;1;0;0;0;0;0;0
55;1077,7486;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
55;1077,7486;R;0;1;0;1;0;0;0;0;0;0
56;1098,7875;H;0;1,5;0;1;0;0;0;0;0;0
56;1098,7875;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
56;1098,7875;R;0;1;0;1;0;0;0;0;0;0
57;1117,5782;H;0;1,5;0;1;0;0;0;0;0;0
57;1117,5782;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
57;1117,5782;R;0;1;0;1;0;0;0;0;0;0
58;1139,0199;H;0;1,5;0;1;0;0;0;0;0;0
58;1139,0199;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
58;1139,0199;R;0;1;0;1;0;0;0;0;0;0
59;1158,8597;H;0;1,5;0;1;0;0;0;0;0;0
59;1158,8597;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
59;1158,8597;R;0;1;0;1;0;0;0;0;0;0
60;1177,0422;H;0;1,5;0;1;0;0;0;0;0;0
60;1177,0422;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
60;1177,0422;R;0;1;0;1;0;0;0;0;0;0
61;1197,607;H;0;1,5;0;1;0;0;0;0;0;0
61;1197,607;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
61;1197,607;R;0;1;0;1;0;0;0;0;0;0
62;1218,4991;H;0;1,5;0;1;0;0;0;0;0;0
62;1218,4991;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
62;1218,4991;R;0;1;0;1;0;0;0;0;0;0
63;1238,8874;H;0;1,5;0;1;0;0;0;0;0;0
63;1238,8874;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
63;1238,8874;R;0;1;0;1;0;0;0;0;0;0
64;1259,8817;H;0;1,5;0;1;0;0;0;0;0;0
64;1259,8817;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
64;1259,8817;R;0;1;0;1;0;0;0;0;0;0
65;1279,3157;H;0;1,5;0;1;0;0;0;0;0;0
65;1279,3157;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
65;1279,3157;R;0;1;0;1;0;0;0;0;0;0
66;1298,8389;H;0;1,5;0;1;0;0;0;0;0;0
66;1298,8389;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
66;1298,8389;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
67;1318,673;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
67;1318,673;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
67;1318,673;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
68;1339,2422;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
68;1339,2422;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
68;1339,2422;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
69;1359,106;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
69;1359,106;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
69;1359,106;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
70;1379,6103;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
70;1379,6103;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
70;1379,6103;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
71;1399,2454;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
71;1399,2454;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
71;1399,2454;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
72;1418,7717;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
72;1418,7717;L;34,506;0,745;25,065;0,7961553;0,2790544;0,3720726;-0,3870755;47,08643;33,56199;323,1143
72;1418,7717;R;35,016;0,729;25,003;0,892954;0,3329829;-0,1179939;0,2789856;41,33908;358,0971;33,9828
73;1439,0956;H;34,763;1,62;25,041;0,09698429;0,02299627;-0,01899692;0,9948388;2,421944;2,413323;168,915
73;1439,0956;L;34,506;0,745;25,065;0,7961553;0,2790544;0,3720726;-0,3870755;47,08643;33,56199;323,1143
73;1439,0956;R;35,017;0,731;25,003;0,8919911;0,3339967;-0,1199988;0,2799972;41,53234;357,93;34,06929
74;1458,3749;H;34,776;1,61;25,044;0,1330376;0,0690195;-0,0290082;0,9882792;4,341488;7,416033;164,9479
74;1458,3749;L;34,506;0,745;25,065;0,7961553;0,2790544;0,3720726;-0,3870755;47,08643;33,56199;323,1143
74;1458,3749;R;35,017;0,731;25,003;0,8919911;0,3339967;-0,1199988;0,2799972;41,53234;357,93;34,06929
75;1478,8841;H;34,776;1,61;25,044;0,1330376;0,0690195;-0,0290082;0,9882792;4,341488;7,416033;164,9479
75;1478,8841;L;34,506;0,745;25,065;0,7961553;0,2790544;0,3720726;-0,3870755;47,08643;33,56199;323,1143
75;1478,8841;R;35,017;0,731;25,003;0,8919911;0,3339967;-0,1199988;0,2799972;41,53234;357,93;34,06929
76;1499,5242;H;34,776;1,61;25,044;0,1330376;0,0690195;-0,0290082;0,9882792;4,341488;7,416033;164,9479
76;1499,5242;L;34,506;0,745;25,065;0,7961553;0,2790544;0,3720726;-0,3870755;47,08643;33,56199;323,1143
76;1499,5242;R;35,017;0,731;25,003;0,8919911;0,3339967;-0,1199988;0,2799972;41,53234;357,93;34,06929
77;1519,1017;H;34,776;1,61;25,044;0,1330376;0,0690195;-0,0290082;0,9882792;4,341488;7,416033;164,9479
77;1519,1017;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
77;1519,1017;R;35,017;0,731;25,003;0,8919911;0,3339967;-0,1199988;0,2799972;41,53234;357,93;34,06929
78;1539,3608;H;34,776;1,61;25,044;0,1330376;0,0690195;-0,0290082;0,9882792;4,341488;7,416033;164,9479
78;1539,3608;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
78;1539,3608;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
79;1559,4768;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
79;1559,4768;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
79;1559,4768;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
80;1579,3059;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
80;1579,3059;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
80;1579,3059;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
81;1598,8682;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
81;1598,8682;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
81;1598,8682;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
82;1618,9032;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
82;1618,9032;L;34,506;0,744;25,066;0,7948101;0,2779336;0,3749104;-0,3879073;47,11068;33,97586;323,1433
82;1618,9032;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
83;1637,9671;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
83;1637,9671;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
83;1637,9671;R;35,018;0,731;25,002;0,8930165;0,3330061;-0,1150021;0,2800052;41,23602;358,559;34,27545
84;1658,6454;H;34,785;1,597;25,047;0,180027;0,0960144;-0,040006;0,9781467;6,478701;10,05205;159,7133
84;1658,6454;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
84;1658,6454;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
85;1678,5324;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
85;1678,5324;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
85;1678,5324;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
86;1699,7964;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
86;1699,7964;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
86;1699,7964;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
87;1718,8976;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
87;1718,8976;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
87;1718,8976;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
88;1739,8387;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
88;1739,8387;L;34,508;0,745;25,067;0,7926965;0,2758943;0,3788549;-0,3898507;47,1212;34,511;323,0512
88;1739,8387;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
89;1758,6437;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
89;1758,6437;L;34,51;0,746;25,068;0,7888048;0,2729325;0,3859045;-0,3929028;47,20818;35,48363;322,9619
89;1758,6437;R;35,019;0,732;24,999;0,8953519;0,3321306;-0,1060417;0,2771089;40,80735;359,5597;34,23052
90;1779,0078;H;34,793;1,586;25,05;0,21194;0,1109686;-0,04898614;0,9697256;8,166117;11,3292;156,1543
90;1779,0078;L;34,51;0,746;25,068;0,7888048;0,2729325;0,3859045;-0,3929028;47,20818;35,48363;322,9619
90;1779,0078;R;35,018;0,729;24,991;0,8959553;0,3359832;-0,1019949;0,2719864;41,11209;1,13319E-06;33,77358
91;1798,7551;H;34,798;1,584;25,05;0,218948;0,1199715;-0,05498694;0,9667704;9,140417;12,15547;155,4538
91;1798,7551;L;34,51;0,746;25,068;0,7888048;0,2729325;0,3859045;-0,3929028;47,20818;35,48363;322,9619
91;1798,7551;R;35,018;0,729;24,991;0,8959553;0,3359832;-0,1019949;0,2719864;41,11209;1,13319E-06;33,77358
92;1818,5165;H;34,798;1,584;25,05;0,218948;0,1199715;-0,05498694;0,9667704;9,140417;12,15547;155,4538
92;1818,5165;L;34,51;0,746;25,068;0,7888048;0,2729325;0,3859045;-0,3929028;47,20818;35,48363;322,9619
92;1818,5165;R;35,018;0,729;24,991;0,8959553;0,3359832;-0,1019949;0,2719864;41,11209;1,13319E-06;33,77358
93;1838,4201;H;34,798;1,584;25,05;0,218948;0,1199715;-0,05498694;0,9667704;9,140417;12,15547;155,4538
93;1838,4201;L;34,51;0,746;25,068;0,7888048;0,2729325;0,3859045;-0,3929028;47,20818;35,48363;322,9619
93;1838,4201;R;35,018;0,729;24,991;0,8959553;0,3359832;-0,1019949;0,2719864;41,11209;1,13319E-06;33,77358
94;1858,8915;H;34,798;1,584;25,05;0,218948;0,1199715;-0,05498694;0,9667704;9,140417;12,15547;155,4538
94;1858,8915;L;34,51;0,747;25,07;0,7849427;0,2709802;0,3919714;-0,3959711;47,37711;36,28487;322,8234
94;1858,8915;R;35,018;0,729;24,991;0,8959553;0,3359832;-0,1019949;0,2719864;41,11209;1,13319E-06;33,77358
95;1878,4431;H;34,798;1,584;25,05;0,218948;0,1199715;-0,05498694;0,9667704;9,140417;12,15547;155,4538
95;1878,4431;L;34,51;0,747;25,07;0,7849427;0,2709802;0,3919714;-0,3959711;47,37711;36,28487;322,8234
95;1878,4431;R;35,017;0,727;24,981;0,895261;0,3420997;-0,09802858;0,2680781;41,68967;0,605885;33,57044
96;1899,2377;H;34,802;1,586;25,049;0,2129231;0,1299531;-0,05797907;0,9666511;9,638493;13,28484;156,2808
96;1899,2377;L;34,51;0,747;25,07;0,7849427;0,2709802;0,3919714;-0,3959711;47,37711;36,28487;322,8234
96;1899,2377;R;35,017;0,727;24,981;0,895261;0,3420997;-0,09802858;0,2680781;41,68967;0,605885;33,57044
97;1917,0043;H;34,802;1,586;25,049;0,2129231;0,1299531;-0,05797907;0,9666511;9,638493;13,28484;156,2808
97;1917,0043;L;34,51;0,747;25,07;0,7849427;0,2709802;0,3919714;-0,3959711;47,37711;36,28487;322,8234
97;1917,0043;R;35,017;0,727;24,981;0,895261;0,3420997;-0,09802858;0,2680781;41,68967;0,605885;33,57044
98;1936,9818;H;34,802;1,586;25,049;0,2129231;0,1299531;-0,05797907;0,9666511;9,638493;13,28484;156,2808
98;1936,9818;L;34,51;0,747;25,07;0,7849427;0,2709802;0,3919714;-0,3959711;47,37711;36,28487;322,8234
98;1936,9818;R;35,017;0,727;24,981;0,895261;0,3420997;-0,09802858;0,2680781;41,68967;0,605885;33,57044
99;1958,6036;H;34,802;1,586;25,049;0,2129231;0,1299531;-0,05797907;0,9666511;9,638493;13,28484;156,2808
